id,questionusageid,questionid,userid,responsesummary,rightanswer,fraction,timecreated
88,14,3,96,Yanıt,Doğru,1.0,1709221586
89,14,4,96,,Doğru,0.49,1709221662
90,14,6,96,,Doğru,0.2,1709221760
91,14,8,96,,Doğru,0.34,1709222399
92,14,10,96,Yanıt,Doğru,1.0,1709222400
93,15,1,113,Yanıt,Doğru,1.0,1709221686
94,15,2,113,Yanıt,Doğru,1.0,1709221937
95,15,3,113,Yanıt,Doğru,1.0,1709222029
96,15,4,113,Yanıt,Doğru,1.0,1709222076
97,15,5,113,Yanıt,Doğru,1.0,1709222186
98,15,6,113,,Doğru,0.0,1709222228
99,15,7,113,Yanıt,Doğru,1.0,1709222311
100,15,8,113,Yanıt,Doğru,1.0,1709222399
101,15,9,113,,Doğru,0.33,1709222401
102,15,10,113,,Doğru,0.3,1709222403
103,16,1,118,Yanıt,Doğru,1.0,1709221742
104,16,3,118,,Doğru,0.04,1709221765
105,16,4,118,,Doğru,0.14,1709221831
106,16,5,118,,Doğru,0.18,1709221879
107,16,6,118,,Doğru,0.31,1709222043
108,16,7,118,Yanıt,Doğru,1.0,1709222090
109,16,9,118,Yanıt,Doğru,1.0,1709222189
110,16,10,118,Yanıt,Doğru,1.0,1709222374
111,17,1,132,,Doğru,0.3,1709221667
112,17,2,132,Yanıt,Doğru,1.0,1709221869
113,17,3,132,,Doğru,0.37,1709221928
114,17,6,132,,Doğru,0.38,1709222320
115,17,7,132,Yanıt,Doğru,1.0,1709222399
116,17,10,132,,Doğru,0.02,1709222400
117,18,1,135,Yanıt,Doğru,1.0,1709219216
118,18,2,135,,Doğru,0.03,1709219795
119,18,3,135,,Doğru,0.04,1709220298
120,18,4,135,,Doğru,0.2,1709222090
121,18,5,135,Yanıt,Doğru,1.0,1709222092
122,18,6,135,Yanıt,Doğru,1.0,1709222092
123,18,7,135,Yanıt,Doğru,1.0,1709222094
124,18,10,135,Yanıt,Doğru,1.0,1709222095
125,19,1,139,Yanıt,Doğru,1.0,1709219774
126,19,3,139,,Doğru,0.4,1709219982
127,19,5,139,,Doğru,0.25,1709220308
128,19,7,139,Yanıt,Doğru,1.0,1709220465
129,19,8,139,,Doğru,0.11,1709220778
130,19,10,139,,Doğru,0.02,1709221459
131,20,1,178,,Doğru,0.08,1709220583
132,20,4,178,,Doğru,0.37,1709221036
133,20,5,178,,Doğru,0.15,1709221249
134,20,6,178,,Doğru,0.3,1709221355
135,20,9,178,,Doğru,0.26,1709221667
136,20,10,178,Yanıt,Doğru,1.0,1709221817
137,21,1,186,,Doğru,0.24,1709221227
138,21,2,186,Yanıt,Doğru,1.0,1709221353
139,21,3,186,Yanıt,Doğru,1.0,1709221427
140,21,4,186,Yanıt,Doğru,1.0,1709221557
141,21,6,186,,Doğru,0.04,1709221808
142,21,9,186,Yanıt,Doğru,1.0,1709222105
143,22,1,189,,Doğru,0.15,1709220689
144,22,2,189,,Doğru,0.41,1709220999
145,22,3,189,Yanıt,Doğru,1.0,1709221299
146,22,4,189,Yanıt,Doğru,1.0,1709221834
147,22,5,189,,Doğru,0.31,1709222399
148,22,7,189,Yanıt,Doğru,1.0,1709222400
149,22,8,189,Yanıt,Doğru,1.0,1709222401
150,22,9,189,,Doğru,0.45,1709222404
151,22,10,189,Yanıt,Doğru,1.0,1709222406
152,23,1,194,Yanıt,Doğru,1.0,1709218823
153,23,3,194,,Doğru,0.2,1709219096
154,23,4,194,,Doğru,0.28,1709219164
155,23,5,194,Yanıt,Doğru,1.0,1709219429
156,23,6,194,,Doğru,0.05,1709219609
157,23,8,194,,Doğru,0.28,1709219737
158,23,9,194,Yanıt,Doğru,1.0,1709219782
159,23,10,194,,Doğru,0.09,1709220036
160,24,1,198,,Doğru,0.36,1709222094
161,24,6,198,,Doğru,0.41,1709222185
162,24,9,198,,Doğru,0.28,1709222233
163,24,10,198,,Doğru,0.29,1709222268
164,25,2,202,,Doğru,0.33,1709220536
165,25,5,202,,Doğru,0.23,1709220575
166,25,7,202,,Doğru,0.32,1709220683
167,25,8,202,,Doğru,0.2,1709221599
168,25,10,202,,Doğru,0.32,1709221615
169,26,1,214,,Doğru,0.12,1709221819
170,26,2,214,,Doğru,0.27,1709221990
171,26,3,214,Yanıt,Doğru,1.0,1709222002
172,26,5,214,Yanıt,Doğru,1.0,1709222167
173,26,6,214,,Doğru,0.36,1709222189
174,26,7,214,Yanıt,Doğru,1.0,1709222363
175,26,8,214,Yanıt,Doğru,1.0,1709222399
176,26,9,214,,Doğru,0.37,1709222401
177,26,10,214,,Doğru,0.37,1709222403
178,27,1,223,,Doğru,0.09,1709220854
179,27,2,223,Yanıt,Doğru,1.0,1709222260
180,27,3,223,Yanıt,Doğru,1.0,1709222298
181,27,4,223,,Doğru,0.16,1709222399
182,27,5,223,,Doğru,0.4,1709222401
183,27,6,223,Yanıt,Doğru,1.0,1709222402
184,27,7,223,Yanıt,Doğru,1.0,1709222405
185,27,8,223,,Doğru,0.06,1709222408
186,27,9,223,,Doğru,0.38,1709222409
187,28,5,224,,Doğru,0.48,1709219163
188,28,6,224,,Doğru,0.31,1709219632
189,28,10,224,,Doğru,0.13,1709220289
190,29,2,235,Yanıt,Doğru,1.0,1709221404
191,29,3,235,,Doğru,0.48,1709221451
192,29,4,235,Yanıt,Doğru,1.0,1709221724
193,29,9,235,,Doğru,0.01,1709222079
194,29,10,235,,Doğru,0.39,1709222143
195,30,4,246,,Doğru,0.49,1709220168
196,30,5,246,,Doğru,0.38,1709220470
197,31,1,257,,Doğru,0.13,1709221124
198,31,2,257,Yanıt,Doğru,1.0,1709221149
199,31,3,257,Yanıt,Doğru,1.0,1709221207
200,31,4,257,,Doğru,0.2,1709221313
201,31,5,257,,Doğru,0.17,1709221632
202,31,6,257,Yanıt,Doğru,1.0,1709221926
203,31,7,257,,Doğru,0.29,1709222399
204,31,9,257,,Doğru,0.08,1709222401
205,32,2,275,Yanıt,Doğru,1.0,1709219041
206,32,3,275,,Doğru,0.37,1709219351
207,32,5,275,,Doğru,0.08,1709219595
208,32,6,275,Yanıt,Doğru,1.0,1709219848
209,32,7,275,Yanıt,Doğru,1.0,1709219991
210,32,8,275,,Doğru,0.2,1709221020
211,32,9,275,,Doğru,0.06,1709221023
212,32,10,275,Yanıt,Doğru,1.0,1709221024
213,33,2,279,,Doğru,0.36,1709220086
214,33,6,279,,Doğru,0.23,1709220127
215,33,7,279,,Doğru,0.28,1709220351
216,33,9,279,,Doğru,0.27,1709220697
217,33,10,279,,Doğru,0.05,1709220948
218,34,2,297,Yanıt,Doğru,1.0,1709221125
219,34,8,297,,Doğru,0.2,1709221214
220,34,9,297,,Doğru,0.13,1709221363
221,35,2,298,Yanıt,Doğru,1.0,1709219627
222,35,4,298,Yanıt,Doğru,1.0,1709220150
223,35,5,298,Yanıt,Doğru,1.0,1709220256
224,35,7,298,,Doğru,0.27,1709220332
225,35,8,298,Yanıt,Doğru,1.0,1709220421
226,35,9,298,Yanıt,Doğru,1.0,1709220709
227,36,2,300,,Doğru,0.07,1709219307
228,36,3,300,,Doğru,0.17,1709219870
229,36,4,300,Yanıt,Doğru,1.0,1709219981
230,36,5,300,Yanıt,Doğru,1.0,1709220086
231,36,6,300,,Doğru,0.09,1709220134
232,36,7,300,Yanıt,Doğru,1.0,1709220404
233,36,8,300,,Doğru,0.19,1709220671
234,36,9,300,Yanıt,Doğru,1.0,1709220672
235,36,10,300,Yanıt,Doğru,1.0,1709220674
236,37,1,301,,Doğru,0.47,1709220606
237,37,2,301,Yanıt,Doğru,1.0,1709221260
238,37,3,301,Yanıt,Doğru,1.0,1709222079
239,37,4,301,,Doğru,0.39,1709222399
240,37,5,301,Yanıt,Doğru,1.0,1709222401
241,37,6,301,,Doğru,0.13,1709222404
242,37,7,301,,Doğru,0.49,1709222405
243,37,8,301,,Doğru,0.43,1709222408
244,37,10,301,Yanıt,Doğru,1.0,1709222411
245,38,1,305,,Doğru,0.43,1709220688
246,38,2,305,,Doğru,0.47,1709220976
247,38,5,305,,Doğru,0.41,1709221787
248,38,6,305,,Doğru,0.35,1709221987
249,38,8,305,,Doğru,0.48,1709222033
250,38,10,305,,Doğru,0.4,1709222034
251,39,1,334,,Doğru,0.22,1709220006
252,39,2,334,Yanıt,Doğru,1.0,1709220360
253,39,6,334,Yanıt,Doğru,1.0,1709220671
254,39,7,334,Yanıt,Doğru,1.0,1709220930
255,39,10,334,,Doğru,0.4,1709221172
256,40,2,340,,Doğru,0.47,1709219439
257,40,7,340,,Doğru,0.39,1709219780
258,40,8,340,,Doğru,0.44,1709220467
259,41,3,357,Yanıt,Doğru,1.0,1709221743
260,41,4,357,Yanıt,Doğru,1.0,1709221762
261,41,5,357,Yanıt,Doğru,1.0,1709221829
262,41,6,357,Yanıt,Doğru,1.0,1709222330
263,41,7,357,Yanıt,Doğru,1.0,1709222398
264,41,8,357,,Doğru,0.44,1709222401
265,41,9,357,,Doğru,0.09,1709222403
266,41,10,357,Yanıt,Doğru,1.0,1709222405
267,42,4,358,,Doğru,0.29,1709219805
268,42,5,358,,Doğru,0.41,1709220003
269,42,6,358,,Doğru,0.24,1709220167
270,42,7,358,,Doğru,0.12,1709220389
271,42,8,358,,Doğru,0.12,1709220552
272,42,9,358,,Doğru,0.19,1709221842
273,42,10,358,,Doğru,0.35,1709221934
274,43,1,359,Yanıt,Doğru,1.0,1709221242
275,43,2,359,Yanıt,Doğru,1.0,1709221723
276,43,3,359,,Doğru,0.17,1709222123
277,43,4,359,Yanıt,Doğru,1.0,1709222148
278,43,5,359,Yanıt,Doğru,1.0,1709222399
279,43,6,359,Yanıt,Doğru,1.0,1709222400
280,43,8,359,,Doğru,0.25,1709222402
281,43,9,359,,Doğru,0.15,1709222403
282,43,10,359,,Doğru,0.24,1709222404
283,44,1,370,Yanıt,Doğru,1.0,1709221404
284,44,5,370,,Doğru,0.17,1709221601
285,44,6,370,,Doğru,0.0,1709221722
286,44,7,370,,Doğru,0.02,1709221918
287,44,8,370,,Doğru,0.13,1709222007
288,44,9,370,,Doğru,0.37,1709222008
289,44,10,370,,Doğru,0.13,1709222009
290,45,1,380,,Doğru,0.42,1709221044
291,45,2,380,Yanıt,Doğru,1.0,1709221490
292,45,3,380,,Doğru,0.24,1709221672
293,45,5,380,,Doğru,0.49,1709221866
294,45,6,380,Yanıt,Doğru,1.0,1709222279
295,45,7,380,Yanıt,Doğru,1.0,1709222390
296,45,8,380,,Doğru,0.44,1709222393
297,45,9,380,Yanıt,Doğru,1.0,1709222394
298,45,10,380,,Doğru,0.28,1709222397
299,46,3,382,Yanıt,Doğru,1.0,1709221675
300,46,5,382,,Doğru,0.13,1709221728
301,46,10,382,,Doğru,0.49,1709221768
302,47,1,383,Yanıt,Doğru,1.0,1709218884
303,47,2,383,,Doğru,0.01,1709219223
304,47,3,383,Yanıt,Doğru,1.0,1709219861
305,47,4,383,Yanıt,Doğru,1.0,1709220522
306,47,5,383,,Doğru,0.11,1709220697
307,47,6,383,,Doğru,0.18,1709220700
308,47,7,383,,Doğru,0.34,1709220701
309,47,8,383,,Doğru,0.4,1709220702
310,47,9,383,Yanıt,Doğru,1.0,1709220704
311,47,10,383,,Doğru,0.07,1709220707
312,48,3,388,,Doğru,0.5,1709220851
313,48,5,388,Yanıt,Doğru,1.0,1709221020
314,48,9,388,Yanıt,Doğru,1.0,1709221313
315,48,10,388,,Doğru,0.44,1709221379
316,49,2,397,Yanıt,Doğru,1.0,1709221193
317,49,3,397,Yanıt,Doğru,1.0,1709221853
318,49,4,397,,Doğru,0.02,1709221909
319,49,7,397,,Doğru,0.33,1709222004
320,49,10,397,Yanıt,Doğru,1.0,1709222139
321,50,2,403,Yanıt,Doğru,1.0,1709221028
322,50,3,403,Yanıt,Doğru,1.0,1709221174
323,50,4,403,,Doğru,0.32,1709221315
324,50,5,403,,Doğru,0.16,1709221847
325,50,7,403,,Doğru,0.23,1709222251
326,50,8,403,,Doğru,0.19,1709222399
327,50,9,403,,Doğru,0.02,1709222400
328,51,1,405,,Doğru,0.03,1709219050
329,51,2,405,,Doğru,0.38,1709219266
330,51,6,405,,Doğru,0.13,1709219299
331,51,7,405,,Doğru,0.11,1709219609
332,51,9,405,,Doğru,0.36,1709219884
333,52,2,406,,Doğru,0.07,1709221885
334,52,3,406,,Doğru,0.44,1709221927
335,52,4,406,,Doğru,0.08,1709222002
336,52,5,406,Yanıt,Doğru,1.0,1709222212
337,52,6,406,Yanıt,Doğru,1.0,1709222226
338,52,8,406,,Doğru,0.32,1709222337
339,52,9,406,,Doğru,0.44,1709222390
340,53,1,408,Yanıt,Doğru,1.0,1709222308
341,53,2,408,Yanıt,Doğru,1.0,1709222322
342,53,3,408,Yanıt,Doğru,1.0,1709222336
343,53,5,408,,Doğru,0.4,1709222350
344,53,6,408,,Doğru,0.22,1709222368
345,53,7,408,Yanıt,Doğru,1.0,1709222379
346,53,8,408,Yanıt,Doğru,1.0,1709222384
347,53,9,408,Yanıt,Doğru,1.0,1709222399
348,53,10,408,Yanıt,Doğru,1.0,1709222401
349,54,1,411,,Doğru,0.19,1709219998
350,54,4,411,Yanıt,Doğru,1.0,1709220560
351,54,5,411,Yanıt,Doğru,1.0,1709220628
352,54,6,411,,Doğru,0.04,1709220733
353,54,8,411,Yanıt,Doğru,1.0,1709221033
354,55,1,412,Yanıt,Doğru,1.0,1709218852
355,55,2,412,,Doğru,0.41,1709219162
356,55,3,412,Yanıt,Doğru,1.0,1709220082
357,55,4,412,,Doğru,0.39,1709220339
358,55,5,412,,Doğru,0.37,1709221153
359,55,6,412,,Doğru,0.32,1709221154
360,55,7,412,,Doğru,0.46,1709221156
361,55,8,412,,Doğru,0.02,1709221158
362,55,9,412,Yanıt,Doğru,1.0,1709221160
363,55,10,412,,Doğru,0.02,1709221162
364,56,2,418,,Doğru,0.22,1709219655
365,56,3,418,Yanıt,Doğru,1.0,1709219876
366,56,4,418,,Doğru,0.19,1709220256
367,56,6,418,Yanıt,Doğru,1.0,1709220479
368,56,7,418,,Doğru,0.11,1709220777
369,56,8,418,Yanıt,Doğru,1.0,1709222033
370,56,9,418,,Doğru,0.01,1709222036
371,56,10,418,,Doğru,0.32,1709222037
372,57,1,430,Yanıt,Doğru,1.0,1709220529
373,57,2,430,,Doğru,0.13,1709220569
374,57,3,430,Yanıt,Doğru,1.0,1709220756
375,57,4,430,Yanıt,Doğru,1.0,1709221079
376,57,5,430,Yanıt,Doğru,1.0,1709221345
377,57,6,430,,Doğru,0.08,1709221610
378,57,7,430,,Doğru,0.23,1709221794
379,57,9,430,Yanıt,Doğru,1.0,1709221914
380,57,10,430,,Doğru,0.36,1709221915
381,58,1,432,,Doğru,0.42,1709220458
382,58,2,432,Yanıt,Doğru,1.0,1709220552
383,58,3,432,,Doğru,0.41,1709220815
384,58,5,432,Yanıt,Doğru,1.0,1709222033
385,58,6,432,Yanıt,Doğru,1.0,1709222399
386,58,10,432,,Doğru,0.32,1709222400
387,59,1,439,Yanıt,Doğru,1.0,1709220138
388,59,2,439,,Doğru,0.29,1709220342
389,59,4,439,Yanıt,Doğru,1.0,1709220912
390,59,5,439,,Doğru,0.24,1709220935
391,59,6,439,,Doğru,0.47,1709221365
392,59,7,439,Yanıt,Doğru,1.0,1709222399
393,59,8,439,,Doğru,0.22,1709222400
394,59,9,439,,Doğru,0.21,1709222403
395,59,10,439,Yanıt,Doğru,1.0,1709222405
396,60,3,447,Yanıt,Doğru,1.0,1709219200
397,60,4,447,Yanıt,Doğru,1.0,1709219307
398,60,5,447,Yanıt,Doğru,1.0,1709219726
399,60,7,447,,Doğru,0.32,1709220138
400,60,10,447,Yanıt,Doğru,1.0,1709220592
401,61,3,452,Yanıt,Doğru,1.0,1709218975
402,61,4,452,,Doğru,0.1,1709219102
403,61,6,452,,Doğru,0.07,1709219437
404,61,8,452,,Doğru,0.04,1709219456
405,61,10,452,,Doğru,0.33,1709219662
406,62,1,453,,Doğru,0.06,1709221401
407,62,2,453,,Doğru,0.33,1709221606
408,62,4,453,Yanıt,Doğru,1.0,1709222036
409,62,5,453,,Doğru,0.11,1709222179
410,62,6,453,Yanıt,Doğru,1.0,1709222237
411,62,8,453,Yanıt,Doğru,1.0,1709222339
412,62,9,453,Yanıt,Doğru,1.0,1709222399
413,62,10,453,,Doğru,0.17,1709222402
414,63,1,459,,Doğru,0.19,1709221627
415,63,2,459,Yanıt,Doğru,1.0,1709221905
416,63,5,459,Yanıt,Doğru,1.0,1709222101
417,63,6,459,,Doğru,0.21,1709222119
418,63,7,459,Yanıt,Doğru,1.0,1709222282
419,63,8,459,Yanıt,Doğru,1.0,1709222320
420,63,9,459,Yanıt,Doğru,1.0,1709222370
421,63,10,459,Yanıt,Doğru,1.0,1709222399
422,64,1,464,,Doğru,0.29,1709219556
423,64,2,464,Yanıt,Doğru,1.0,1709220513
424,64,3,464,,Doğru,0.4,1709220861
425,64,5,464,Yanıt,Doğru,1.0,1709221279
426,64,6,464,Yanıt,Doğru,1.0,1709222104
427,64,7,464,,Doğru,0.22,1709222218
428,64,8,464,Yanıt,Doğru,1.0,1709222336
429,64,9,464,,Doğru,0.44,1709222336
430,65,3,468,,Doğru,0.12,1709219180
431,65,4,468,,Doğru,0.17,1709219389
432,65,6,468,,Doğru,0.09,1709219618
433,65,8,468,Yanıt,Doğru,1.0,1709220863
434,65,9,468,Yanıt,Doğru,1.0,1709220915
435,66,1,470,Yanıt,Doğru,1.0,1709220358
436,66,2,470,Yanıt,Doğru,1.0,1709220535
437,66,3,470,,Doğru,0.33,1709220776
438,66,4,470,Yanıt,Doğru,1.0,1709220978
439,66,5,470,,Doğru,0.34,1709221081
440,66,6,470,Yanıt,Doğru,1.0,1709221144
441,66,7,470,Yanıt,Doğru,1.0,1709221461
442,66,8,470,Yanıt,Doğru,1.0,1709222073
443,66,9,470,Yanıt,Doğru,1.0,1709222399
444,66,10,470,Yanıt,Doğru,1.0,1709222399
445,67,1,501,,Doğru,0.03,1709220424
446,67,3,501,,Doğru,0.06,1709220712
447,67,4,501,,Doğru,0.45,1709221120
448,67,5,501,,Doğru,0.2,1709222296
449,67,6,501,,Doğru,0.06,1709222299
450,67,7,501,,Doğru,0.15,1709222301
451,67,9,501,Yanıt,Doğru,1.0,1709222302
452,67,10,501,,Doğru,0.03,1709222305
453,68,1,502,Yanıt,Doğru,1.0,1709220985
454,68,2,502,Yanıt,Doğru,1.0,1709221056
455,68,3,502,,Doğru,0.29,1709221086
456,68,5,502,,Doğru,0.03,1709221482
457,68,6,502,,Doğru,0.03,1709221941
458,68,7,502,,Doğru,0.11,1709221974
459,68,8,502,Yanıt,Doğru,1.0,1709222399
460,68,10,502,Yanıt,Doğru,1.0,1709222400
461,69,1,506,,Doğru,0.35,1709222291
462,69,2,506,Yanıt,Doğru,1.0,1709222300
463,69,3,506,,Doğru,0.44,1709222320
464,69,4,506,,Doğru,0.49,1709222346
465,69,5,506,,Doğru,0.42,1709222367
466,69,7,506,,Doğru,0.23,1709222380
467,69,8,506,Yanıt,Doğru,1.0,1709222399
468,69,9,506,Yanıt,Doğru,1.0,1709222400
469,70,1,531,,Doğru,0.28,1709220291
470,70,3,531,Yanıt,Doğru,1.0,1709220599
471,70,4,531,,Doğru,0.12,1709220966
472,70,5,531,,Doğru,0.38,1709221648
473,70,8,531,,Doğru,0.28,1709222146
474,71,5,544,,Doğru,0.31,1709219073
475,71,6,544,,Doğru,0.4,1709219379
476,71,7,544,,Doğru,0.15,1709221091
477,71,8,544,,Doğru,0.07,1709221157
478,71,9,544,Yanıt,Doğru,1.0,1709221231
479,72,1,554,Yanıt,Doğru,1.0,1709221301
480,72,3,554,Yanıt,Doğru,1.0,1709221865
481,72,4,554,,Doğru,0.24,1709222212
482,72,5,554,,Doğru,0.46,1709222290
483,72,7,554,,Doğru,0.25,1709222326
484,72,8,554,,Doğru,0.28,1709222399
485,72,9,554,,Doğru,0.11,1709222400
486,72,10,554,Yanıt,Doğru,1.0,1709222401
487,73,1,572,Yanıt,Doğru,1.0,1709220022
488,73,2,572,,Doğru,0.32,1709220554
489,73,3,572,Yanıt,Doğru,1.0,1709220769
490,73,4,572,Yanıt,Doğru,1.0,1709221526
491,73,6,572,,Doğru,0.44,1709222293
492,73,7,572,Yanıt,Doğru,1.0,1709222296
493,73,9,572,Yanıt,Doğru,1.0,1709222297
494,74,1,603,,Doğru,0.05,1709221430
495,74,5,603,Yanıt,Doğru,1.0,1709221621
496,74,8,603,,Doğru,0.09,1709221745
497,74,9,603,Yanıt,Doğru,1.0,1709221959
498,75,1,612,,Doğru,0.02,1709221847
499,75,2,612,Yanıt,Doğru,1.0,1709221854
500,75,4,612,Yanıt,Doğru,1.0,1709221959
501,75,6,612,,Doğru,0.41,1709221969
502,75,7,612,,Doğru,0.12,1709222018
503,75,9,612,Yanıt,Doğru,1.0,1709222069
504,75,10,612,Yanıt,Doğru,1.0,1709222399
505,76,4,614,Yanıt,Doğru,1.0,1709219022
506,76,6,614,,Doğru,0.4,1709219195
507,76,7,614,,Doğru,0.08,1709219326
508,76,8,614,,Doğru,0.44,1709220030
509,77,1,617,Yanıt,Doğru,1.0,1709220298
510,77,2,617,,Doğru,0.03,1709220544
511,77,3,617,,Doğru,0.18,1709220618
512,77,4,617,,Doğru,0.48,1709221424
513,77,7,617,Yanıt,Doğru,1.0,1709221554
514,77,9,617,Yanıt,Doğru,1.0,1709222045
515,77,10,617,,Doğru,0.02,1709222051
516,78,3,631,,Doğru,0.2,1709221717
517,78,5,631,Yanıt,Doğru,1.0,1709221762
518,78,8,631,,Doğru,0.07,1709221873
519,78,9,631,,Doğru,0.41,1709221962
520,78,10,631,,Doğru,0.48,1709222039
521,79,1,634,Yanıt,Doğru,1.0,1709218918
522,79,2,634,Yanıt,Doğru,1.0,1709219311
523,79,3,634,Yanıt,Doğru,1.0,1709219632
524,79,4,634,Yanıt,Doğru,1.0,1709220005
525,79,5,634,,Doğru,0.16,1709221085
526,79,6,634,,Doğru,0.21,1709221087
527,79,7,634,Yanıt,Doğru,1.0,1709221089
528,79,8,634,,Doğru,0.32,1709221091
529,79,9,634,,Doğru,0.09,1709221092
530,79,10,634,Yanıt,Doğru,1.0,1709221094
531,80,1,655,,Doğru,0.18,1709220259
532,80,2,655,,Doğru,0.46,1709221017
533,80,3,655,,Doğru,0.18,1709221332
534,80,4,655,,Doğru,0.02,1709221619
535,80,6,655,Yanıt,Doğru,1.0,1709221939
536,80,7,655,,Doğru,0.15,1709222164
537,80,8,655,,Doğru,0.49,1709222399
538,80,10,655,,Doğru,0.03,1709222400
539,81,2,657,Yanıt,Doğru,1.0,1709220719
540,81,3,657,Yanıt,Doğru,1.0,1709220849
541,81,4,657,,Doğru,0.07,1709220962
542,81,5,657,Yanıt,Doğru,1.0,1709220970
543,82,1,661,Yanıt,Doğru,1.0,1709219960
544,82,2,661,,Doğru,0.24,1709220264
545,82,3,661,,Doğru,0.02,1709220334
546,82,4,661,Yanıt,Doğru,1.0,1709220577
547,82,6,661,Yanıt,Doğru,1.0,1709220864
548,82,7,661,,Doğru,0.2,1709221989
549,82,8,661,,Doğru,0.12,1709222399
550,82,9,661,Yanıt,Doğru,1.0,1709222401
551,82,10,661,,Doğru,0.25,1709222402
552,83,1,662,Yanıt,Doğru,1.0,1709219550
553,83,3,662,,Doğru,0.46,1709220330
